Date,Close/Last,Volume,Open,High,Low
12/14/2023,472.01,119026000,472.5,473.73,469.25
12/13/2023,470.5,93277960,464.49,470.7599,464.12
12/12/2023,464.1,68327620,461.63,464.2,460.6
12/11/2023,461.99,65002250,459.69,462.17,459.47
12/8/2023,460.2,83194400,457.46,460.745,457.21
12/7/2023,458.23,66995450,456.91,458.9,456.29
12/6/2023,454.76,69124690,458.81,458.84,454.31
12/5/2023,456.6,69793470,455.26,457.59,454.87
12/4/2023,456.69,72430890,455.6,459.1206,454.34
12/1/2023,459.1,89183400,455.77,459.65,455.16
11/30/2023,456.4,79752700,455.48,456.76,453.34
11/29/2023,454.61,63145990,457.15,458.32,454.2
11/28/2023,454.93,62115010,454.08,456.27,453.5
11/27/2023,454.48,50505990,454.65,455.4901,454.0799
11/24/2023,455.3,29737380,455.07,455.5,454.73
11/22/2023,455.02,59446570,454.98,456.38,453.8895
11/21/2023,453.27,49244640,453.1842,454.131,451.9599
11/20/2023,454.26,70055630,450.53,455.125,450.52
11/17/2023,450.79,83193900,450.24,451.42,449.29
11/16/2023,450.23,66665800,449.22,450.56,448.12
11/15/2023,449.68,77327570,450.11,451.38,448.8
11/14/2023,448.73,97176940,446.32,450.06,446.09
11/13/2023,440.19,52236070,439.23,441.33,438.42
11/10/2023,440.61,89558050,435.98,440.93,433.8335
11/9/2023,433.84,83174420,438.43,438.47,433.4
11/8/2023,437.25,61746030,437.55,438.09,434.87
11/7/2023,436.93,64256110,435.69,437.585,434.51
11/6/2023,435.69,67831660,435.47,436.1498,433.68
11/3/2023,434.69,100167800,433.14,436.29,433.01
11/2/2023,430.76,94938910,426.58,430.915,426.56
11/1/2023,422.66,98068120,419.2,423.5,418.6499
10/31/2023,418.2,79665150,416.18,418.53,414.21
10/30/2023,415.59,86562680,413.56,416.68,412.22
10/27/2023,410.68,107367700,414.19,414.6,409.21
10/26/2023,412.55,115156800,416.45,417.325,411.6
10/25/2023,417.55,94223200,421.89,421.92,417.015
10/24/2023,423.63,78564240,422.65,424.82,420.74
10/23/2023,420.46,92035100,419.61,424.45,417.8
10/20/2023,421.19,123919900,425.98,426.54,421.08
10/19/2023,426.43,121323000,430.95,432.82,425.725
10/18/2023,430.21,93559800,434.19,435.18,429.09
10/17/2023,436.02,75324710,432.81,438.14,432.45
10/16/2023,436.04,75433190,433.82,437.14,433.57
10/13/2023,431.5,95201130,435.21,436.45,429.88
10/12/2023,433.66,81154230,436.95,437.335,431.23
10/11/2023,436.32,62451740,435.64,436.58,433.18
10/10/2023,434.54,78607270,432.94,437.22,432.53
10/9/2023,432.29,80374360,427.58,432.88,427.0101
10/6/2023,429.54,113273300,421.97,431.125,420.6
10/5/2023,424.5,70142740,424.36,425.37,421.1701
10/4/2023,424.66,87452970,422.07,425.4299,420.56
10/3/2023,421.59,103760600,425.06,427.3729,420.18
10/2/2023,427.31,83798600,426.62,428.6,424.46
09/29/2023,427.48,115111300,431.67,431.85,425.91
09/28/2023,428.52,92258310,425.48,430.2499,424.87
09/27/2023,426.05,104705800,427.09,427.67,422.29
09/26/2023,425.88,96168440,429.09,429.82,425.02
09/25/2023,432.23,70874530,429.17,432.27,428.72
09/22/2023,430.42,100829700,432.45,434.1,429.99
09/21/2023,431.39,104095800,435.7,435.97,431.23
09/20/2023,438.64,82562600,444.01,444.435,438.43
09/19/2023,442.71,66514650,442.68,443.29,439.94
